key,translation
food_storage_hut_description,食品を保管するために使用。食品を長期間新鮮に保ちます
free_up,自由にする
freshness,鮮度
fuel,燃料
fullscreen,フルスクリーン
future,未来
game_finished,ゲーム終了
game_menu,ゲームメニュー
gas,ガス
gather,収集
gather_stone,Gather stone
gather_wood,Gather wood
gathering,収集
gathering_labor,Gathering
grain_processing,穀物加工
grape,ブドウ
grape_bush,ブドウの低木
grave,墓
growth_progress,成長経過
growth_speed,成長速度
happiness,幸福度
harvesting,収穫
has_joined_your_settlement,{0}が開拓地に加わりました
hauling,運搬
hay,干し草
haystack,干し草の山
haystack_description,干し草を保管するために使用
health,体力
hearth,囲炉裏
herbalist_table,薬草採取者の机
herbalist_table_description,原始的な医薬品の作成に使用
honey,ハチミツ
honeycomb,ハチの巣
horse,馬
hours,時間
hunger,飢餓
hunt,狩猟
hunting,狩猟
hut,小屋
information,情報
ingredients,材料
inventory,所持品
iron,鉄
iron_age,鉄器時代
iron_axe,鉄の斧
iron_bloom,鉄の華
iron_deposit,鉄鉱床
iron_harpoon,鉄の銛
iron_hoe,鉄の鍬
iron_ore,鉄鉱石
iron_pick,鉄のツルハシ
iron_sickle,鉄の鎌
iron_smelting,鉄の製錬
iron_smithy,鉄の鍛冶場
iron_spear,鉄の槍
irrigate,水まき
irrigation,灌漑
irrigation_canals,灌漑用水路
item_required,Item required
items,アイテム
kiln,窯
kinetic,運動的
knowledge,知識
knowledge_points,知識ポイント
knowledge_table,知識の机
labor_type,Labor type
language,言語
language_change_warning,"変更を有効にするには
ゲームを再起動してください"
language_name,Japanese
learning,学習
leather,革
leather_outfit,革の服
left_click,左クリック
level,レベル
light,軽微
load_game,ロードゲーム
low_light,弱い光源
mammoth,マンモス
manure,肥料
manure_drying_area,肥料乾燥場
manure_drying_area_description,肥料の感想に使用
mealing_stone,石皿
mealing_stone_description,穀物や種の加工に使用されます。
mechanical_crusher,機械式粉砕機
mechanical_millstone,機械式石臼
mechanisms,機械
medicine,薬
melee_damage,近接ダメージ
mesolithic,中石器時代
metallurgy,金属学
millstone,石臼
mine,採掘
mine_description,鉱山から資源を抽出するために使用。それ自身の周囲に堆積物を生み出します
mine_mine,採掘
mining_labor,採掘
moderate,並み
moisture,水分
mortar_and_pestle,すり鉢とすりこぎ
mouflon,ムフロン
movement_speed,移動速度
mudbrick,泥レンガ
mudbrick_dryer,泥レンガ乾燥機
mudbrick_floor,日干しレンガの床
mudbrick_hut,泥レンガの小屋
mudbrick_wall,日干しレンガの壁
music_volume,ミュージック音量
name,名前
neolithic,新石器時代
new_game,新規ゲーム
new_settlers,新しい移民
new_settlers_arrived,新しい移民が到着
new_technologies_available,新技術が利用可能
noria,水くみ水車
noria_description,"井戸から水をくみ上げ、
用水路に導くために使用されます。"
number_of_fish,魚の数
number_of_uses,使用回数
nutrition,栄養
oak,オーク
oil_lamp,オイルランプ
oil_lamp_description,照明に用いられ、燃料として油や動物性油脂が使用されます
old,老年
open,開く
open_game_data_folder,ゲームデータフォルダを開く
oven,かまど
paleolithic,旧石器時代
palisade,くい柵
paste,ペースト
pause,一時停止
pea,えんどう豆
pea_seeds,エンドウ豆の種
pea_soup,エンドウ豆スープ
peaceful_mode,平和モード
peas,豆
pemmican,ペミカン
per_day,/日
pets,ペット
pig,豚
plant,植物
planting,植付
plowing,耕起
point_of_entry_to_a_space_which_is_enclosed_by_walls,壁に囲まれた場所への入口
pot_of_beer,ビールの壺
pot_of_honey,ハチミツの壺
pot_of_mead,ミードの壺
pot_of_milk,ミルクの壺
pot_of_water,水の壺
pot_of_wine,ワインの壺
pottery,陶器
pregnancy,妊娠
primitive_animal_dwelling,原始的な動物小屋
primitive_dwelling,原始の居住施設
primitive_medicine,原始医学
primitive_school_description,知識ポイントを獲得するために使用
priority,優先度
produce_energy,Produce energy
production,製造
production_limit,生産限界
productivity,生産性
progress,進捗
projectile_speed,発射速度
protects_against_low_temperatures,低温保護
rain,雨
raisin,レーズン
raisin_buns,レーズンパン
ranching,放牧
range_damage,遠距離ダメージ
ration,配給
raw_fish,生魚
raw_meat,生肉
raw_skin,無加工の皮
recharge_time,再チャージ時間
recipe,レシピ
recipes,レシピ
remove_equipment,装備を取り除く
rename,名前の変更
repeat,リピート
repeat_until_production_limits_are_reached,生産限界に達するまで繰り返します
required,必須
required_technology,必要な技術
resource,資源
resources,資源
rest,休憩
result,結果
resume,一時停止
return_to_the_future,未来に戻る
right_click,右クリック
satiety,満腹度
save,セーブ
season,季節
seeds,種
selling,販売
settlement,開拓地
settler_corpse,移民の死体
settlers,移民
sheaf_of_barley,大麦の束
sheep,羊
shelf_life,保存可能期間
shelf_life_of_products,生産品の保存可能期間
show_resource_in_the_general_list,一般リストに資源を表示
side_item,サイドアイテム
skin_drying_rack,皮乾燥ラック
skin_tent,皮のテント
skins_outfit,皮の服
slaughter,食肉処理
sleep,睡眠
sleeping,睡眠
sleeping_on_the_ground,地面で寝ています
sling,スリング
soil,土壌
sound_volume,音量
sowing,播種
spawn_time,生産時間
speed,速度
spinning,紡糸
spinning_wheel,糸車
spoilage_rate,腐敗率
spoiled,が腐敗
spring,春
spruce,Spruce
stick_hut,小枝の小屋
stockpile,備蓄所
stone,石
stone_axe,石の斧
stone_deposit,石鉱床
stone_floor,石床
stone_harpoon,石の銛
stone_hoe,石の鍬
stone_pick,石のツルハシ
stone_pieces,石片
stone_sickle,石の鎌
stone_spear,石の槍
stone_tools,石の道具
stone_wall,石の壁
stopped_due_to,停止理由: {0}
storage,貯蔵庫
stored,貯蔵済み
strong,強い
summer,夏
supplying,供給
tailors_workshop,仕立て屋の作業場
tannery,皮なめし
tanning,なめし革法
tarpan,ターパン
technologies,技術
temperature,体温
the_settlers_are_freezing,移民たちは凍えている
the_settlers_are_starving,移民たちは飢えている
the_settlers_are_unhappy,移民たちは不満を抱いている
thresher,脱穀機
thresher_description,植物を脱穀して干し草から種子を分離するために使用
threshing_floor,脱穀場
threshing_floor_description,"干し草から種子を分離するために動物が
大量に植物を脱穀するために使用されます。"
time,時間
time_machine,タイム・マシン
time_machine_description,タイムトラベル装置
tin_deposit,錫鉱床
tin_ore,錫鉱石
to_do_the_job_of_x_you_need_tools,{0}をするには道具が必要
tool_required,Tool required
tool_type,道具タイプ
tools,道具
torch,松明
torch_description,空間を照らすために使用
total_speed,合計速度
trade,取引
trading,交易
trading_post,交易所
trading_post_assortment_update,交易所の品揃えが更新されました！
trading_post_description,商品の売買ができます。品揃えは１日に１回更新されます。
travel_speed,移動速度
treadmill,踏み車
treadmill_description,動物や移民のエネルギーを機械エネルギーに変換
tree_farming,Tree farming
turn_off_music,音楽を消す
turn_on_music,音楽を再生
unassign_from,{0}から割り当て解除
unfired_pot,素焼きの壺
used_for_automated_grinding_of_grain,穀物の自動粉砕に使用
used_for_coal_production,木炭生産に使用
used_for_cooking,調理に使用
used_for_drying_adobe,日干しレンガを換装させるために使用
used_for_drying_food,食糧の乾燥に使用
used_for_drying_skins,皮の乾燥に使用
used_for_firing_ceramic_products,陶磁器製造の焼成に使用
used_for_fishing,魚釣りに使用
used_for_forging_copper_and_bronze_tools,銅および青銅の道具の鍛造に使用
used_for_forging_iron_tools,鉄の道具の鍛造に使用
used_for_growing_plants,植物の成長に使用
used_for_mining,採掘に使用
used_for_quick_cooking,調理を速くするために使用
used_for_quick_grinding_of_grain,穀物を素早く粉砕するために使用
used_for_spinning_yarn,糸を紡ぐのに使用
used_for_storing_resources,資源の貯蔵に使用
used_for_tanning_skins,皮のなめしに使用
used_to_bury_the_dead,死者を埋葬するのに使用
used_to_collect_water,水を集めるために使用
used_to_create_advanced_tools,高度な道具を作成するために使用
used_to_create_primitive_tools,原始的な道具の生産に使用
used_to_cross_water,水を渡るのに使用
used_to_crushing_resources,資源を粉砕するために使用
used_to_ferment_foods,食品の発酵に使用
used_to_grinding_and_crushing_resources,資源の製粉と粉砕に使用
used_to_make_clothes,服を作るために使用
used_to_smelting_metals_from_its_ores,鉱石から金属を製錬するために使用
used_to_weave_cloth,布を織るために使用
value,価値
view_settler,移民を表示
vomiting,嘔吐
wall,壁
wall_description,通行できない障壁を作るために使用される構造物
walls,壁
warm_clothing,温かい衣類
warm_fur_clothes,暖かい毛皮の服
warm_knitted_clothes,暖かい編んだ服
warm_place,温かい場所
warp_weighted_loom,たて加重織機
was_killed_by,|0|が{1}に殺されました
water_gathering_place,集水所
weapon,武器
weaving,織工
well,井戸
wild_bee_hive,野生のミツバチの巣
wind,風
windmill,風車
windmill_description,風力エネルギーを機械エネルギーに変換
windowed,ウィンドウ
winter,冬
winter_cold,冬の寒さ
wolf,オオカミ
wolf_domestication,オオカミの家畜化
wood,木
wood_pieces,木片
woodcutting,木材切断
wooden_cart,木製荷車
wooden_gate,木製の門
wooden_harpoon,木製の銛
wooden_plow,木製のすき
wooden_spear,木製の槍
wool,羊毛
wool_cloth,羊毛の布
wool_clothing,羊毛の衣類
wool_yarn,毛糸
work,労働
workers,労働者
workshop,作業場
world_name,ワールド名
world_settings,ワールド設定
world_size,ワールド・サイズ
world_with_that_name_already_exists,そのワールド名はすでに存在しています
woven_clothing,編んだ服
x_died_from_the_cold,{0}は寒さで死亡しました
x_died_of_old_age,{0}は老齢で死亡しました
x_died_of_starvation,{0}は飢えで死亡しました
x_got_the_y_effect,{0}は{1}の影響を受けています
x_is_already_assigned_to_another_hut,{0}はすでに別の小屋に割り当てられています
x_is_already_assigned_to_this_hut,{0}はすでにこの小屋に割り当てられています
yarn,糸
сut_automatically_description,完全に成長した植物を自動的に収穫
